Zone,Zone_Name,District_Code,District,Block_Code,Block_Name,PC_No,PC_Name,AC_No,AC_Name,Gram_Panchayat_Code,Gram_Panchayat,Organisational_District
8,Jangal Mahal,305,Bankura,2775,Bankura-Ii,36,Bankura,252,Bankura,108296,Junbedia,Bankura
8,Jangal Mahal,305,Bankura,2775,Bankura-Ii,36,Bankura,252,Bankura,108298,Mankanali,Bankura
8,Jangal Mahal,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna,108345,Hatagram,Bankura
8,Jangal Mahal,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna,108346,Indpur,Bankura
8,Jangal Mahal,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna,108347,Raghunathpur,Bankura
8,Jangal Mahal,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna,108342,Brahmandiha,Bankura
8,Jangal Mahal,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna,108341,Bheduasole,Bankura
8,Jangal Mahal,305,Bankura,2778,Gangajal Ghati,36,Bankura,247,Saltora,108327,Barshal,Bankura
8,Jangal Mahal,305,Bankura,2778,Gangajal Ghati,36,Bankura,247,Saltora,108332,Lachhmanpur,Bankura
8,Jangal Mahal,305,Bankura,2778,Gangajal Ghati,36,Bankura,247,Saltora,108326,Banashuria,Bankura
8,Jangal Mahal,305,Bankura,2778,Gangajal Ghati,36,Bankura,247,Saltora,108333,Latiaboni,Bankura
8,Jangal Mahal,305,Bankura,2780,Indpur,36,Bankura,251,Taldangra,108344,Gourbazar,Bankura
8,Jangal Mahal,305,Bankura,2780,Indpur,36,Bankura,251,Taldangra,108343,Brajarajpur,Bankura
8,Jangal Mahal,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra,108466,Panchmura,Bankura
8,Jangal Mahal,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra,108469,Taldangra,Bankura
8,Jangal Mahal,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra,108463,Fulmati,Bankura
8,Jangal Mahal,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra,108462,Bibarda,Bankura
8,Jangal Mahal,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra,108464,Harmasra,Bankura
8,Jangal Mahal,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra,108465,Khalgram,Bankura
7,The Parganas,303,North 24 Parganas,2726,Barasat-I,17,Barasat,119,Barasat,107808,Chhoto Jagulia,Barasat
7,The Parganas,303,North 24 Parganas,2726,Barasat-I,17,Barasat,120,Deganga,107812,Kadambagachhi,Barasat
7,The Parganas,303,North 24 Parganas,2726,Barasat-I,17,Barasat,120,Deganga,107814,Kotra,Barasat
7,The Parganas,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga,107875,Chaurasi,Barasat
7,The Parganas,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga,107870,Amulia,Barasat
7,The Parganas,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga,107881,Nurnagar,Barasat
7,The Parganas,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga,107882,Sohai-Shetpur,Barasat
7,The Parganas,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga,107873,Chakla,Barasat
7,The Parganas,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga,107871,Berachampa-I,Barasat
7,The Parganas,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga,107872,Berachampa-Ii,Barasat
7,The Parganas,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga,107880,Kolsur,Barasat
7,The Parganas,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga,107878,Hadipur Jhikra-I,Barasat
7,The Parganas,303,North 24 Parganas,2735,Habra-I,17,Barasat,100,Habra,107898,Kumra,Barasat
7,The Parganas,303,North 24 Parganas,2735,Habra-I,17,Barasat,100,Habra,107901,Prithiba,Barasat
7,The Parganas,303,North 24 Parganas,2735,Habra-I,17,Barasat,100,Habra,107902,Rautara,Barasat
7,The Parganas,303,North 24 Parganas,2735,Habra-I,17,Barasat,100,Habra,107900,Machhlandapur-Ii,Barasat
7,The Parganas,303,North 24 Parganas,2726,Barasat-I,17,Barasat,118,Madhyamgram,107811,Ichhapur-Nilganj,Barasat
7,The Parganas,303,North 24 Parganas,2726,Barasat-I,17,Barasat,118,Madhyamgram,107815,Paschim Khilkapur,Barasat
7,The Parganas,303,North 24 Parganas,2726,Barasat-I,17,Barasat,118,Madhyamgram,107816,Purba Khilkapur,Barasat
7,The Parganas,303,North 24 Parganas,2727,Barasat-Ii,17,Barasat,118,Madhyamgram,107820,Kemia Khamarpara,Barasat
7,The Parganas,303,North 24 Parganas,2727,Barasat-Ii,17,Barasat,118,Madhyamgram,107817,Chandigarh-Rohanda,Barasat
4,Bardhaman & Birbhum,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,267,Bhatar,108519,Kshetia,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,267,Bhatar,108520,Kurmun-I,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar,108515,Baghar-I,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar,108523,Saraitikar,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar,108516,Baghar-Ii,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar,108518,Belkash,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar,108517,Bandul-I,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar,108522,Rayan-Ii,Purba Bardhman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar,108521,Rayan-I,Purba Bardhman
4,Bardhaman & Birbhum,704,Paschim Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,276,Durgapur Purba,108602,Molandighi,Paschim Bardhaman
4,Bardhaman & Birbhum,704,Paschim Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,276,Durgapur Purba,108600,Gopalpur,Paschim Bardhaman
4,Bardhaman & Birbhum,306,Purba Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,274,Galsi,108598,Bankati,Purba Bardhman
